Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
2,FivePoints,San Joaquin Valley,7/1/2021,182,0.3,0,676,15.9,96.7,64.5,81.2,69,30,44,57,5.1,122.4,80.7
2,FivePoints,San Joaquin Valley,7/2/2021,183,0.29,0,681,15.7,100.3,64.3,82,67,25,42,56.8,5,120.5,80.7
2,FivePoints,San Joaquin Valley,7/3/2021,184,0.29,0,653,15.1,99.1,64.5,81.6,67,23,41,55.7,4.9,118.3,80.5
2,FivePoints,San Joaquin Valley,7/4/2021,185,0.3,0,707,13,99.5,63,80.8,63,16,36,51.5,5.1,123,80.2
2,FivePoints,San Joaquin Valley,7/5/2021,186,0.31,0,701,13.1,96.2,60.6,79.8,67,24,38,51.8,5.7,136.6,79.7
2,FivePoints,San Joaquin Valley,7/6/2021,187,0.33,0,702,12.5,95.1,63.2,79.7,65,23,36,50.5,7.3,175.6,79.3
2,FivePoints,San Joaquin Valley,7/7/2021,188,0.32,0,709,10.7,96.1,60,79.3,52,18,31,46.4,5.9,141.2,78.6
2,FivePoints,San Joaquin Valley,7/8/2021,189,0.31,0,674,13.1,102.1,65.9,84,59,17,33,51.7,4.4,105.9,78.7
2,FivePoints,San Joaquin Valley,7/9/2021,190,0.33,0,670,14.3,106.8,72.2,90.2,56,16,29,54.1,4.8,115.4,79.4
2,FivePoints,San Joaquin Valley,7/10/2021,191,0.34,0,653,13.8,107.9,72.2,90.9,52,15,28,53.2,5.6,135.5,79.9
2,FivePoints,San Joaquin Valley,7/11/2021,192,0.35,0,641,12.2,109,73.9,90.9,45,14,25,49.7,5.9,142.1,80
2,FivePoints,San Joaquin Valley,7/12/2021,193,0.31,0,654,12.7,103.8,67.7,85.9,46,15,30,50.9,5,119.6,79.8
2,FivePoints,San Joaquin Valley,7/13/2021,194,0.3,0,652,13.5,100.3,66.5,82.5,53,21,36,52.5,5,119.6,79.8
2,FivePoints,San Joaquin Valley,7/14/2021,195,0.29,0,648,13.3,95.5,61.9,79,61,19,39,52.1,5.6,134.2,79.3
2,FivePoints,San Joaquin Valley,7/15/2021,196,0.29,0,663,13.6,97.6,63,79.3,64,23,40,52.7,5,120.2,79
2,FivePoints,San Joaquin Valley,7/16/2021,197,0.28,0,671,12.5,96.9,60,78,65,19,38,50.4,4.6,110.2,78.8
2,FivePoints,San Joaquin Valley,7/17/2021,198,0.28,0,655,12.6,100.8,61.3,81.6,67,15,34,50.6,3.9,94,78.6
2,FivePoints,San Joaquin Valley,7/18/2021,199,0.2,0,457,14.6,96,65.8,81.9,58,25,39,54.7,3.8,91.9,78.6
2,FivePoints,San Joaquin Valley,7/19/2021,200,0.3,0.04,639,13.9,103.3,68.9,85.4,64,20,33,53.4,4.1,98.3,
2,FivePoints,San Joaquin Valley,7/20/2021,201,0.33,0,659,11.5,100.9,64.7,83.7,54,20,29,48.2,6.5,154.9,79.3
2,FivePoints,San Joaquin Valley,7/21/2021,202,0.3,0.03,667,10.5,97.1,61.3,80.4,53,17,30,45.9,5,119.4,
2,FivePoints,San Joaquin Valley,7/22/2021,203,0.3,0,646,10.9,100,61.9,81.4,62,16,30,46.7,4.7,114,78.9
2,FivePoints,San Joaquin Valley,7/23/2021,204,0.29,0,654,11.1,99.6,60.3,80.8,68,16,31,47.4,4,96.9,78.7
2,FivePoints,San Joaquin Valley,7/24/2021,205,0.29,0,650,11.8,100.2,62.8,82.3,56,16,31,49,4,96.9,78.5
2,FivePoints,San Joaquin Valley,7/25/2021,206,0.28,0,563,12,98.2,65.3,83.1,61,17,31,49.5,5,119,78.4
2,FivePoints,San Joaquin Valley,7/26/2021,207,0.27,0,539,11.9,98.4,68.8,82.9,55,17,31,49.1,4.9,117.2,78.3
2,FivePoints,San Joaquin Valley,7/27/2021,208,0.32,0,687,14.3,99.5,74.8,90.7,48,23,29,54.1,7.1,171.1,78.8
2,FivePoints,San Joaquin Valley,7/28/2021,209,0.28,0,564,14.7,97.4,68.4,82.5,55,27,39,54.8,5.4,130.6,78.6
2,FivePoints,San Joaquin Valley,7/29/2021,210,0.3,0,636,15.2,101.9,67,85.4,64,22,37,55.8,4.8,114.5,79.2
2,FivePoints,San Joaquin Valley,7/30/2021,211,0.3,0,635,15.9,103.7,70.6,87.5,61,22,36,57.1,4.4,104.4,80.3
2,FivePoints,San Joaquin Valley,7/31/2021,212,0.3,0,637,14.6,101.8,70.5,86,58,19,35,54.8,4.9,118,81
2,FivePoints,San Joaquin Valley,8/1/2021,213,0.3,0,644,12,103.8,65.2,84,58,14,30,49.4,4.7,112.9,80.7
5,Shafter,San Joaquin Valley,7/1/2021,182,0.32,0,732,15.7,101.6,68.3,84.9,63,20,38,56.7,5,120.1,
5,Shafter,San Joaquin Valley,7/2/2021,183,0.32,0,733,15.7,102,69.2,85.1,65,21,38,56.7,5.2,124.2,
5,Shafter,San Joaquin Valley,7/3/2021,184,0.31,0,684,13.8,102.1,70.4,84.4,58,21,34,53.1,5,119.3,
5,Shafter,San Joaquin Valley,7/4/2021,185,0.32,0,745,12.2,102.1,66.7,82.9,51,16,32,49.9,4.6,110.9,
5,Shafter,San Joaquin Valley,7/5/2021,186,0.3,0,743,14.7,101.6,63.3,81.9,61,19,39,54.8,4.3,102.6,
5,Shafter,San Joaquin Valley,7/6/2021,187,0.31,0,725,14.5,101.2,67.3,82.6,61,19,38,54.5,4.8,114.8,
5,Shafter,San Joaquin Valley,7/7/2021,188,0.3,0,723,13.8,99.6,65.4,83.1,73,15,36,53.1,4.1,97.6,
5,Shafter,San Joaquin Valley,7/8/2021,189,0.28,0,644,17.7,103.6,68.1,87,74,18,40,60.1,3.2,76.3,
5,Shafter,San Joaquin Valley,7/9/2021,190,0.32,0,689,19.3,108.8,75.7,92.8,68,15,37,62.5,3.9,93.5,
5,Shafter,San Joaquin Valley,7/10/2021,191,0.32,0,695,18.4,110.3,76.4,94.4,64,16,,,3.4,82.5,
5,Shafter,San Joaquin Valley,7/11/2021,192,0.32,0,695,18.1,111.6,79.7,95.6,66,13,,,3.5,84.9,
5,Shafter,San Joaquin Valley,7/12/2021,193,0.32,0,697,15.7,109.1,70.8,91.1,64,10,32,56.7,4.1,97.5,
5,Shafter,San Joaquin Valley,7/13/2021,194,0.33,0,647,15.7,106.6,76.5,89.4,65,16,33,56.7,5.3,127.6,
5,Shafter,San Joaquin Valley,7/14/2021,195,0.32,0,673,15.7,102.2,68.3,85.4,62,21,38,56.6,5.3,126.4,
5,Shafter,San Joaquin Valley,7/15/2021,196,0.31,0,682,14.9,101.1,69.2,84.3,69,19,37,55.2,5.1,121.3,
5,Shafter,San Joaquin Valley,7/16/2021,197,0.31,0,699,12.8,99.4,66.4,83.1,60,16,33,51.1,4.3,103.8,
