Incident #,County,Fire Name,Start,Cont.,DPA,Total,Type,Cause,Dest.,Dam.,Fire,Civil
BDU-5618 ,INYO ,MOFFAT ,04/19/18 ,04/24/18 ,CAL FIRE ,"1,065 ","B, G ",UNDETERMINED ,,,,
MMU-8764 ,MERCED ,NEES ,05/02/18 ,05/02/18 ,CAL FIRE ,"1,756 ",G ,EQUIPMENT USE ,,,,
RRU-62932 ,RIVERSIDE ,PATTERSON ,05/17/18 ,05/18/18 ,CAL FIRE ,"1,261 ","B, G ",EQUIPMENT USE ,,,,
MMU-10096 ,FRESNO ,CANAL ,05/19/18 ,05/20/18 ,CAL FIRE ,300 ,G ,ELECTRICAL POWER ,,,,
LAC-166129 ,LOS ANGELES ,STONE ,06/04/18 ,06/08/18 ,CC ,"1,352 ","B, G ",HUMAN ,,,,
MMU-11264 ,MERCED ,O'NEALS ,06/04/18 ,06/07/18 ,CAL FIRE ,300 ,"B, G ",EQUIPMENT USE ,,,,
BEU-2666 ,SAN BENITO ,AIRLINE 2 ,06/04/18 ,06/12/18 ,CAL FIRE ,"1,314 ","B, G ",UNDETERMINED ,,,,
BEU-2668 ,SAN BENITO ,EASTERN 2 ,06/04/18 ,06/12/18 ,CAL FIRE ,513 ,"B, G ",ELECTRICAL POWER ,,,,
TGU-5555 ,TEHAMA ,APPLE ,06/09/18 ,06/12/18 ,CAL FIRE ,"2,956 ","B, G ",EQUIPMENT USE ,9 ,3 ,,
TGU-5560 ,TEHAMA ,CHROME ,06/09/18 ,06/22/18 ,CAL FIRE ,"2,290 ","B, G ",MISCELLANEOUS ,1 ,,,
MMU-12081 ,MERCED ,PLANADA ,06/15/18 ,06/19/18 ,CAL FIRE ,"4,563 ",G ,EQUIPMENT USE ,,,,
LNU-9002 ,NAPA ,PAWNEE ,06/23/18 ,07/08/18 ,CAL FIRE ,"15,180 ","B, G ",TARGET SHOOTING ,22 ,6 ,,
