Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
2,FivePoints,San Joaquin Valley,1/1/2025,001,0.04,0,182,8,60.2,33,45.5,91,57,77,38.7,3.5,83.6,51
2,FivePoints,San Joaquin Valley,1/2/2025,002,0.05,0,201,8.2,62.3,33.6,46.8,94,49,76,39.5,3.1,73.3,50.7
2,FivePoints,San Joaquin Valley,1/3/2025,003,0.03,0,102,10.3,60.1,42.8,49.6,94,61,85,45.2,6,144.3,50.8
2,FivePoints,San Joaquin Valley,1/4/2025,004,0.06,0,202,8.6,59.5,37.7,47.2,92,60,78,40.7,6.4,153.6,50.9
2,FivePoints,San Joaquin Valley,1/5/2025,005,0.05,0,202,8.6,59.4,34.4,46,95,59,81,40.5,4.5,107.6,50.5
2,FivePoints,San Joaquin Valley,1/6/2025,006,0.05,0,210,9,60.8,32.4,47.4,96,60,81,41.8,3.8,91.8,50.3
2,FivePoints,San Joaquin Valley,1/7/2025,007,0.08,0,217,9.1,63.4,42.5,51.7,98,40,70,42.2,7.7,185.4,50.8
2,FivePoints,San Joaquin Valley,1/8/2025,008,0.04,0,153,6.9,62.9,34.6,44.7,87,43,68,34.9,3.2,77.2,50.4
2,FivePoints,San Joaquin Valley,1/9/2025,009,0.06,0,225,7.1,62.4,30.1,44.5,90,45,71,35.6,3.2,76.7,49.7
2,FivePoints,San Joaquin Valley,1/10/2025,010,0.07,0,231,7,69.1,30.8,47.9,89,34,62,35.5,3.6,87.4,49.6
2,FivePoints,San Joaquin Valley,1/11/2025,011,0.11,0,241,6.4,62.1,36.7,48.8,78,33,55,33.2,9.5,228.2,49.6
2,FivePoints,San Joaquin Valley,1/12/2025,012,0.09,0,246,5.4,57.9,31.5,44.4,74,37,54,29,7.5,179.1,48.9
2,FivePoints,San Joaquin Valley,1/13/2025,013,0.07,0,248,5.5,60.2,26,41.6,80,39,61,29.3,4.6,110.5,48.2
2,FivePoints,San Joaquin Valley,1/14/2025,014,0.07,0,249,5.6,62.7,27.7,44,82,33,57,29.6,3.4,81.8,47.9
2,FivePoints,San Joaquin Valley,1/15/2025,015,0.07,0,254,5.8,66.8,28,45.8,79,30,55,30.5,3.8,92.1,47.9
2,FivePoints,San Joaquin Valley,1/16/2025,016,0.07,0,251,5.6,66.2,29.1,46.2,77,29,53,29.9,3.1,73.2,47.9
2,FivePoints,San Joaquin Valley,1/17/2025,017,0.07,0.13,254,5.9,65.4,32.3,46.6,79,34,54,31.1,3.3,79,48
2,FivePoints,San Joaquin Valley,1/18/2025,018,0.06,0,252,7.3,60.5,30.5,44.7,91,51,72,36.3,4,95.7,48
2,FivePoints,San Joaquin Valley,1/19/2025,019,0.06,0,248,6.7,61.9,28.3,43.6,92,44,70,34.4,3.4,80.5,47.8
2,FivePoints,San Joaquin Valley,1/20/2025,020,0.07,0,252,6.9,59.4,30,44,90,48,71,35.1,5.1,122.5,47.7
2,FivePoints,San Joaquin Valley,1/21/2025,021,0.07,0,255,6.3,64.3,28.2,45.3,87,37,61,32.6,3.9,94.1,47.6
2,FivePoints,San Joaquin Valley,1/22/2025,022,0.07,0,269,5.6,62.9,26.8,44.4,85,33,56,29.8,3,71.4,47.6
2,FivePoints,San Joaquin Valley,1/23/2025,023,0.07,0,271,5.8,66.8,26.8,45.1,78,33,56,30.5,2.9,68.5,47.5
2,FivePoints,San Joaquin Valley,1/24/2025,024,0.08,0,256,5.8,68,28.6,46.5,83,30,54,30.7,3.1,74.8,47.6
2,FivePoints,San Joaquin Valley,1/25/2025,025,0.07,0,181,7.2,59.7,40.1,47.6,84,43,64,36.1,6.1,146.9,47.9
2,FivePoints,San Joaquin Valley,1/26/2025,026,0.02,0.11,109,8.7,51.3,34.6,44,97,74,88,40.8,5,118.8,47.9
2,FivePoints,San Joaquin Valley,1/27/2025,027,0.07,0,276,6.7,57.7,31.8,43.5,96,41,70,34.3,3.4,81.8,47.8
2,FivePoints,San Joaquin Valley,1/28/2025,028,0.07,0,277,6.3,60.2,27.3,42.8,94,41,67,32.6,3.5,84.7,47.7
2,FivePoints,San Joaquin Valley,1/29/2025,029,0.07,0,280,6.3,61.4,29.7,43.9,88,42,65,32.9,3.5,84.6,47.6
2,FivePoints,San Joaquin Valley,1/30/2025,030,0.07,0,275,7.2,60.1,32.4,44.8,89,51,71,36,3.8,92.1,47.7
2,FivePoints,San Joaquin Valley,1/31/2025,031,0.06,0,188,8,61.4,34.6,48.7,84,49,68,38.7,3,71.6,47.8
5,Shafter,San Joaquin Valley,1/1/2025,001,,0,269,9.1,59.6,34.8,45.9,99,61,86,42,3.2,76.6,54.2
5,Shafter,San Joaquin Valley,1/2/2025,002,,0,277,9.2,62.8,35.4,46.4,99,58,86,42.5,2.4,56.8,53.4
5,Shafter,San Joaquin Valley,1/3/2025,003,,0,203,10.8,68.1,39.6,51.7,98,51,83,46.7,4,95.7,53.4
5,Shafter,San Joaquin Valley,1/4/2025,004,,0,241,9.5,57.6,38.2,47.8,100,59,83,43.1,3.9,93,54.1
5,Shafter,San Joaquin Valley,1/5/2025,005,,0,279,8.6,59.2,33.9,45.1,99,60,84,40.7,2.3,54.9,53
5,Shafter,San Joaquin Valley,1/6/2025,006,,0,290,8.8,60.9,33,45.6,99,58,85,41.3,2.3,54.1,52.6
5,Shafter,San Joaquin Valley,1/7/2025,007,,0,139,10.1,56.6,41,48.3,97,70,88,44.8,3.3,79.7,53
5,Shafter,San Joaquin Valley,1/8/2025,008,,0,205,8.5,59.1,35.6,44.7,99,57,85,40.4,3.6,86.5,52.1
5,Shafter,San Joaquin Valley,1/9/2025,009,,0,306,7.7,61.8,29.6,43.9,98,48,79,37.8,2.6,62.5,51.2
5,Shafter,San Joaquin Valley,1/10/2025,010,,0,316,6.6,74.1,31,48.1,97,17,57,33.8,2.7,65,51.1
5,Shafter,San Joaquin Valley,1/11/2025,011,,0,305,7.1,61.1,30.6,44.2,94,41,72,35.6,3.4,81.1,50.9
5,Shafter,San Joaquin Valley,1/12/2025,012,,0,318,6.7,58.6,32.1,43,94,45,71,34.3,3.1,74,50.4
5,Shafter,San Joaquin Valley,1/13/2025,013,,0,322,5.9,60.5,29,42.9,92,32,63,31.2,4.7,111.9,49.5
5,Shafter,San Joaquin Valley,1/14/2025,014,,0,322,5.6,61.7,27.3,42.3,90,31,61,30,2.9,70.1,49
5,Shafter,San Joaquin Valley,1/15/2025,015,,0,323,6,65.6,27.2,44.3,92,29,60,31.4,2.9,68.8,48.9
5,Shafter,San Joaquin Valley,1/16/2025,016,,0,326,5.8,66,28,44.8,88,25,57,30.6,3.1,74.2,49
5,Shafter,San Joaquin Valley,1/17/2025,017,,0,317,6,66.4,31.1,45.8,87,28,57,31.6,2.9,70.5,49
5,Shafter,San Joaquin Valley,1/18/2025,018,,0,313,6.8,60.6,29.4,42.3,92,47,74,34.8,2.9,70.4,48.9
5,Shafter,San Joaquin Valley,1/19/2025,019,,0,319,6.9,61.6,28.9,43.2,96,43,72,34.9,2.8,66.3,48.7
5,Shafter,San Joaquin Valley,1/20/2025,020,,0,316,7.2,57.9,29.4,42.1,95,53,79,35.9,3.3,79.9,48.7
5,Shafter,San Joaquin Valley,1/21/2025,021,,0,337,6.3,62.6,26.8,42.5,96,34,68,32.8,3,71.2,48.4
5,Shafter,San Joaquin Valley,1/22/2025,022,,0,333,6.1,62.9,26.6,42.1,93,37,67,32,2.7,64.7,48.2
5,Shafter,San Joaquin Valley,1/23/2025,023,,0,339,6.7,68.2,27.8,45.2,93,33,65,34.2,2.7,66,48.3
5,Shafter,San Joaquin Valley,1/24/2025,024,,0,347,5.4,72.8,28.9,47.9,90,17,48,29.1,2.6,62.2,48.7
5,Shafter,San Joaquin Valley,1/25/2025,025,,0,182,7.3,62.3,36.5,47.8,82,38,64,36.4,4.5,108.5,49.3
5,Shafter,San Joaquin Valley,1/26/2025,026,,0.52,145,9.2,50.5,36.9,44.5,98,80,92,42.3,4.8,114,49.6
5,Shafter,San Joaquin Valley,1/27/2025,027,,0.04,313,8.8,56.3,37.2,45.6,100,55,85,41.3,2.9,69.4,50.1
5,Shafter,San Joaquin Valley,1/28/2025,028,,0,351,7.4,60,31.2,43.9,99,44,76,36.7,2.5,60.4,49.6
5,Shafter,San Joaquin Valley,1/29/2025,029,,0,362,7.4,61.6,30.1,44.5,97,44,74,36.7,2.7,65.9,49.2
5,Shafter,San Joaquin Valley,1/30/2025,030,,0,358,7.7,61.1,30.2,43.9,98,50,79,37.8,2.5,60.4,49.1
5,Shafter,San Joaquin Valley,1/31/2025,031,,0,305,8.4,62.4,33,46.7,98,48,77,40,2.6,62,49.2
6,Davis,Sacramento Valley,1/1/2025,001,0.01,0,75,9.1,50.9,38.8,45.8,94,76,87,42.2,2.6,63.4,50.8
6,Davis,Sacramento Valley,1/2/2025,002,0.05,0,211,10.1,58.3,43.8,49.9,97,70,83,44.9,4.3,103,51.4
6,Davis,Sacramento Valley,1/3/2025,003,0.02,0.16,71,10.7,59.8,43.5,50.1,98,64,87,46.4,5.6,134.9,51.2
6,Davis,Sacramento Valley,1/4/2025,004,0.04,0,201,9.3,57.4,38.7,46.9,98,63,85,42.5,3.1,74.5,50.8
6,Davis,Sacramento Valley,1/5/2025,005,0.06,0,250,9.6,59.8,39.9,48.4,96,60,83,43.5,3.2,76.7,50.8
6,Davis,Sacramento Valley,1/6/2025,006,0.06,0,210,10.3,60,41,50.7,96,61,81,45.2,6.8,163.3,51
6,Davis,Sacramento Valley,1/7/2025,007,0.16,0,245,7.6,63.5,50.5,56.4,61,39,49,37.5,14.9,358.1,51.2
6,Davis,Sacramento Valley,1/8/2025,008,0.11,0,257,7,62.6,40.8,52.8,88,40,52,35.5,7.2,172.9,50.9
6,Davis,Sacramento Valley,1/9/2025,009,0.14,0,257,7.2,69.9,37.6,55.7,91,27,48,36.2,9.4,226.1,50.2
6,Davis,Sacramento Valley,1/10/2025,010,0.06,0,233,9.3,61.2,38.4,49.6,93,58,77,42.7,4.2,99.7,50.6
6,Davis,Sacramento Valley,1/11/2025,011,0.19,0,258,5.9,63.4,47.7,55.2,78,26,40,31.1,16.5,396.1,50.3
6,Davis,Sacramento Valley,1/12/2025,012,0.16,0,256,5.6,62.2,48.4,53.6,54,31,40,29.6,12.7,304.2,49.8
6,Davis,Sacramento Valley,1/13/2025,013,0.13,0,247,5.7,60.1,42.6,51.7,74,30,43,30.2,11,265,49.4
6,Davis,Sacramento Valley,1/14/2025,014,0.06,0,246,6.8,61.1,32.8,46,89,37,64,34.6,2.5,60.5,49
6,Davis,Sacramento Valley,1/15/2025,015,0.06,0,252,7,62.7,32.1,45.1,93,34,68,35.3,2.2,53.7,48.5
6,Davis,Sacramento Valley,1/16/2025,016,0.06,0,252,7.6,63.6,33.8,46.8,92,40,70,37.4,3.6,87,48.3
6,Davis,Sacramento Valley,1/17/2025,017,0.05,0.01,252,8.2,59.8,32.6,44.4,97,58,82,39.3,2.3,54.4,48.3
6,Davis,Sacramento Valley,1/18/2025,018,0.06,0,265,7.4,62.6,31,44.7,98,40,74,36.8,2.4,56.9,47.9
6,Davis,Sacramento Valley,1/19/2025,019,0.06,0,260,7.8,58.4,32.1,43.1,98,55,82,38,3.3,79,47.5
6,Davis,Sacramento Valley,1/20/2025,020,0.15,0,284,5,62,38.9,51.3,82,22,38,26.9,11.1,267,47.4
6,Davis,Sacramento Valley,1/21/2025,021,0.06,0,274,6.5,57.9,29.4,42.4,92,46,70,33.4,3.2,76.2,46.9
6,Davis,Sacramento Valley,1/22/2025,022,0.08,0,279,6.1,60.3,29.6,43.5,89,34,63,31.8,3.9,94.2,46.1
6,Davis,Sacramento Valley,1/23/2025,023,0.07,0,278,7.1,66.7,30,46.3,91,37,66,35.6,2.4,57.4,46.5
6,Davis,Sacramento Valley,1/24/2025,024,0.06,0,233,7.8,62.2,34.3,47.2,88,46,70,38,3.5,83.8,47
6,Davis,Sacramento Valley,1/25/2025,025,0.08,0,199,6.7,56,37.3,48.1,92,31,58,34.2,8.4,201.1,47.2
6,Davis,Sacramento Valley,1/26/2025,026,0.14,0,278,4.3,57.4,41.7,48.5,54,26,37,23.4,10.6,254.9,47.1
6,Davis,Sacramento Valley,1/27/2025,027,0.14,0,289,4.7,64.1,39.8,50.7,72,22,37,25.7,8.8,211.4,46.9
6,Davis,Sacramento Valley,1/28/2025,028,0.06,0,285,6.2,60.9,29.2,43.2,89,36,66,32.5,2.3,55.1,46.5
6,Davis,Sacramento Valley,1/29/2025,029,0.06,0,275,7.8,56.3,30.8,42.9,97,61,83,38,2.8,66.4,46.9
6,Davis,Sacramento Valley,1/30/2025,030,0.06,0,275,7.5,56.2,29.8,42,97,62,83,37.1,3.3,78.5,46.7
6,Davis,Sacramento Valley,1/31/2025,031,0,0.27,39,9.7,49.3,40.1,45.5,97,89,93,43.7,4.8,115.8,46.9
7,Firebaugh/Telles,San Joaquin Valley,1/1/2025,001,0.01,0,66,7.7,57.1,33.3,45.1,91,57,76,37.9,2.1,51.1,46.9
7,Firebaugh/Telles,San Joaquin Valley,1/2/2025,002,0.01,0,53,8.6,60.5,36.2,47.6,90,55,77,40.7,2.3,54.6,46.7
7,Firebaugh/Telles,San Joaquin Valley,1/3/2025,003,0.01,0.03,78,10.4,58,41.6,48.2,98,73,91,45.6,2.2,53.9,47.6
7,Firebaugh/Telles,San Joaquin Valley,1/4/2025,004,0.02,0.01,103,9.1,57.7,36.2,46.7,98,64,84,42.1,2.7,65.6,47.6
7,Firebaugh/Telles,San Joaquin Valley,1/5/2025,005,0.01,0,55,8.7,58.1,37.6,46.7,94,56,80,40.9,2.6,61.2,47
7,Firebaugh/Telles,San Joaquin Valley,1/6/2025,006,0.02,0,90,9,59.9,33.9,47.4,94,60,81,41.9,2.4,58.3,46.6
7,Firebaugh/Telles,San Joaquin Valley,1/7/2025,007,,0,59,8.2,64.1,41.9,52.9,89,38,60,39.3,4,95.7,47.4
